index,facility_name,source_facility_type,odhf_facility_type,provider,unit,street_no,street_name,postal_code,geographic_name,province,latitude,longitude
2288,Mountain Lea Lodge,nursing home,Nursing and residential care facilities,Province of Nova Scotia,,170,church street,B0S 1C0,bridgetown north,ns,44.84888674,-65.29260802
2289,Musquodoboit Valley Home for Special Care Association,nursing home,Nursing and residential care facilities,Province of Nova Scotia,,126,higginsville road,B0N 1X0,middle musquodoboit,ns,45.03997373,-63.13996247
229,Revera Inc. — Bow Crest Care Centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T3B 0C7,calgary,ab,51.0456064,-114.057541
2290,Musquodoboit Valley Memorial Hospital,general,Hospitals,Public Health Agency of Canada,,492,archibald brook rd,B0N 1X0,middle musquodoboit,ns,45.0404637,-63.1404927
2291,My Cape Breton Home for Seniors - North Sydney,residential care facility,Nursing and residential care facilities,Province of Nova Scotia,,77,campbell street,B1P 6J1,north sydney,ns,46.20477157,-60.26941415
2292,My Cape Breton Home for Seniors - Sydney,residential care facility,Nursing and residential care facilities,Province of Nova Scotia,,137,riverdale drive,B1R 0A9,sydney,ns,46.11836193,-60.22143907
2293,Nakile Home for Special Care,nursing home,Nursing and residential care facilities,Province of Nova Scotia,,35,nakile drive,B0W 1W0,argyle,ns,43.79122868,-65.86173664
2294,New Visions Home for Seniors,residential care facility,Nursing and residential care facilities,Province of Nova Scotia,,4507,highway 1,B0P 1E0,berwick,ns,45.03433004,-64.72327232
2295,New Waterford Consolidated Hospital,general,Hospitals,Public Health Agency of Canada,,716,king st,B1H 3Z5,new waterford,ns,46.240138,-60.085691
2296,North Cumberland Memorial Hospital,general,Hospitals,Public Health Agency of Canada,,260,church st,B0K 1L0,pugwash,ns,45.856298,-63.65886999999999
2297,North Queens Nursing Home,nursing home,Nursing and residential care facilities,Province of Nova Scotia,,9565,highway 8,B0T 1B0,caledonia,ns,44.37646364,-65.01481319999999
2298,Northside Community Guest Home,nursing home,Nursing and residential care facilities,Province of Nova Scotia,,11,queen st,B2A 1A2,north sydney,ns,46.19500767,-60.26263014
2299,Northside General Hospital,general,Hospitals,Public Health Agency of Canada,,520,purves st,B2A 3M4,north sydney,ns,46.218293,-60.23561899999999
23,Bentley Care Centre,extended care,Nursing and residential care facilities,Public Health Agency of Canada,,4834,52 ave,T0C 0J0,bentley,ab,52.467744,-114.04616
230,Revera Inc. — Jasper Place,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T5R 2V6,edmonton,ab,53.5462055,-113.491241
2301,Northumberland Hall Continuing Care Residence,nursing home,Nursing and residential care facilities,Province of Nova Scotia,,189,willow street,B4H 3W6,amherst,ns,45.82921455,-64.18958683
2302,Northwoodcare Bedford Incorporated- Christina & Hedley g. Ivany Place,nursing home and residential care facility,Nursing and residential care facilities,Province of Nova Scotia,,123,gary martin drive,B4B 0G7,bedford,ns,44.72371655,-63.70626578
2303,Northwoodcare Incorporated,nursing home and residential care facility,Nursing and residential care facilities,Province of Nova Scotia,,2615,northwood terr,B3K 3S5,halifax,ns,44.65718076,-63.59204668
2304,Nova Scotia Environmental Health Centre,environmental health,Ambulatory health care services,Province of Nova Scotia,,3064,highway 2,B3K 3S5,fall river,ns,44.809976,-63.60599200000001
2305,Nova Scotia Rehabilitation Centre,rehabilitation,Hospitals,Province of Nova Scotia,,1341,summer street,B3K 3S5,halifax,ns,44.639724,-63.58215799999999
2306,Oakwood Terrace,nursing home,Nursing and residential care facilities,Province of Nova Scotia,,10,mount hope avenue,B2Y 4K1,dartmouth,ns,44.65352971,-63.54451843
2307,Ocean View Continuing Care Centre,nursing home,Nursing and residential care facilities,Province of Nova Scotia,,1909,caldwell road,B3G 1M4,eastern passage,ns,44.60672388,-63.47021578
2308,Olson's Glo Estate Home for Special Care,residential care facility,Nursing and residential care facilities,Province of Nova Scotia,,143,route 304,B4A 4J7,overton,ns,43.848349,-66.12773299999999
2309,Orchard Court Continuing Care Residence,nursing home,Nursing and residential care facilities,Province of Nova Scotia,,155,river street,B4N 1G8,kentville,ns,45.07927263,-64.50264685
231,Revera Inc. — Mckenzie Towne Care Centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2Z 4G4,calgary,ab,51.0456064,-114.057541
2310,Parkstone Enhanced Care Limited,nursing home,Nursing and residential care facilities,Province of Nova Scotia,,156,parkland drive,B3S 1N9,halifax,ns,44.66338256,-63.67207336
2311,Peter's Place (Pjd Rehab Housing Inc.),residential care facility,Nursing and residential care facilities,Province of Nova Scotia,,326,huey lake road,B0R 1G0,pleasnantville,ns,44.25792189,-64.41615526
2312,Peter's Place Halifax - Pjd Rehab Housing Incorporated,residential care facility,Nursing and residential care facilities,Province of Nova Scotia,,12,swan crescent,B3M 1T6,halifax,ns,44.66905884,-63.65842992
2313,PONT DU MARAIS HOME LTD,residential care facility,Nursing and residential care facilities,Province of Nova Scotia,,1526,highway 335,B0W 2C0,lower west pubnico,ns,43.63821368,-65.80187492
2314,Port Hawkesbury Nursing Home,nursing home and residential care facility,Nursing and residential care facilities,Province of Nova Scotia,,2,macquarrie drive extension,B9A 3A2,port hawkesbury,ns,45.619351,-61.35377710000001
2315,Precision Health - 16 Rannoch Road,residential care facility,Nursing and residential care facilities,Province of Nova Scotia,,16,rannoch road,B9A 3A2,dartmouth,ns,44.69066361,-63.53563314
2316,Precision Health - 24 Kincardine Street,residential care facility,Nursing and residential care facilities,Province of Nova Scotia,,24,kincardine street,B2X 1H9,dartmouth,ns,44.69142556,-63.53708654
2317,Precision Health - Washmill Lake Drive Appartments,residential care facility,Nursing and residential care facilities,Province of Nova Scotia,,599,washmill lake drive,B3G 1M4,halifax,ns,44.65001241,-63.65366567
2318,Qeii - Halifax Infirmary Site,tertiary,Hospitals,Province of Nova Scotia,,1796,summer street,B3G 1M4,halifax,ns,44.645784,-63.586389
2319,Qeii - Victoria General (Vg) Site,tertiary,Hospitals,Province of Nova Scotia,,1278,south park street,B3G 1M4,halifax,ns,44.63840489,-63.58040241
232,Revera Inc. — Miller Crossing,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T5A 5J4,edmonton,ab,53.5462055,-113.491241
2320,Queen Elizabeth Ii Health Sciences Centre,general,Hospitals,Public Health Agency of Canada,,1276,south park st,B3K 6A3,halifax,ns,44.638422,-63.581341
2321,Queen Elizabeth Ii Health Sciences Centre — Halifax Infirmary Site Camp Hill Veterans’ Memorial Building,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,B3H 2E1,halifax,ns,44.648618,-63.5859487
2324,Queens General Hospital,general,Hospitals,Public Health Agency of Canada,,175,school st,B0T 1K0,liverpool,ns,44.037653000000006,-64.70559399999999
2325,Queens Manor,nursing home,Nursing and residential care facilities,Province of Nova Scotia,,20,hollands dr,B0T 1K0,liverpool,ns,44.03617567,-64.70679145
2326,r.c. Macgillivray Guest Home,nursing home,Nursing and residential care facilities,Province of Nova Scotia,,25,xavier dr,B1S 2R9,sydney,ns,46.12356627,-60.19425513
2327,Richmond Villa,nursing home and residential care facility,Nursing and residential care facilities,Province of Nova Scotia,,9361,pepperall street,B0E 3B0,st peters,ns,45.65842332,-60.87480584
2328,Rk Macdonald Nursing Home,nursing home,Nursing and residential care facilities,Province of Nova Scotia,,64,pleasant street,B2G 1W7,antigonish,ns,45.62516431,-61.99132033
2329,Rosedale Home for Special Care,nursing home,Nursing and residential care facilities,Province of Nova Scotia,,4927,highway trunk 10,B0R 1E0,new germany,ns,44.53721096,-64.71115891
233,Revera Inc. — Mount Royal Care Centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2T 3C2,calgary,ab,51.0456064,-114.057541
2330,Roseway Hospital,general,Hospitals,Public Health Agency of Canada,,1606,sandy point rd,B0T 1W0,shelburne,ns,43.749523,-65.310347
2331,Roseway Manor Inc.,nursing home,Nursing and residential care facilities,Province of Nova Scotia,,1604,lake road,B0T 1W0,sandy point,ns,43.74876507,-65.30896095
2332,Ryan Hall,nursing home and residential care facility,Nursing and residential care facilities,Province of Nova Scotia,,313,hollingsworth drive,B4V 0A3,bridgewater,ns,44.38345744,-64.50550609
2333,Sacred Heart Hospital,general,Hospitals,Public Health Agency of Canada,,,main st,B0E 1H0,cheticamp,ns,46.623469,-61.015105000000005
2334,Saint Vincent's Nursing Home,nursing home,Nursing and residential care facilities,Province of Nova Scotia,,2080,windsor st,B3K 5B2,halifax,ns,44.64791631,-63.59419064
2335,Saunders Rest Home,residential care facility,Nursing and residential care facilities,Province of Nova Scotia,,9,freeman street,B0S 1C0,bridgetown,ns,44.84085709,-65.28885285
2336,Seabright Rest Home Ltd.,residential care facility,Nursing and residential care facilities,Province of Nova Scotia,,11625,peggys cove road,B3Z 2Y1,seabright,ns,44.62317275,-63.92622043
2337,Seaview Manor,nursing home,Nursing and residential care facilities,Province of Nova Scotia,,275,south street,B1A 1W6,glace bay,ns,46.18448967,-59.93643857
2338,Serenity Lodge,residential care facility,Nursing and residential care facilities,Province of Nova Scotia,,39,russell mckeen drive,B2T 1A7,enfield,ns,44.95087375,-63.53505955
2339,Shiretown Nursing Home,nursing home and residential care facility,Nursing and residential care facilities,Province of Nova Scotia,,280,haliburton rd,B0K 1H0,pictou,ns,45.67775737,-62.72953760000001
234,Revera Inc. — Riverview,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T1A 4C2,medicine hat,ab,50.04303,-110.679016
2340,Shoreham Village,nursing home,Nursing and residential care facilities,Province of Nova Scotia,,50,shoreham village crescent,B0J 1J0,chester,ns,44.54485891,-64.23220467
2341,Sisters of St. Martha,nursing home,Nursing and residential care facilities,Province of Nova Scotia,,45,bay street,B2G 2G6,antgonish,ns,45.63114048,-61.98085488
2342,Soldiers Memorial Hospital,active acute hospital,Hospitals,Canadian Institute for Health Information,,462,main street,B0S 1P0,middleton,ns,44.882577000000005,-65.156992
2343,South Cumberland Community Care Centre,general,Hospitals,Public Health Agency of Canada,,50,jenks ave,B0M 1S0,parrsboro,ns,45.409197,-64.325971
2344,South Shore Regional Hospital,general,Hospitals,Public Health Agency of Canada,,90,glen allan dr,B4V 3S6,bridgewater,ns,44.3831672,-64.51059570000001
2345,Southview Guest Home Ltd.,residential care facility,Nursing and residential care facilities,Province of Nova Scotia,,2027,highway 28,B1N 3H6,sydney,ns,46.1862368,-60.19756978
2346,St. Anne Community and Nursing Care Centre,nursing home,Nursing and residential care facilities,Province of Nova Scotia,,2313,highway 206,B0E 1A0,arichat,ns,45.51104211,-61.03191108
2348,St. Martha's Regional Hospital,general,Hospitals,Public Health Agency of Canada,,25,bay st,B2G 2G5,antigonish,ns,45.627949,-61.980072
2349,St. Mary's Memorial Hospital,general,Hospitals,Public Health Agency of Canada,,91,hospital rd,B0J 3C0,sherbrooke,ns,45.147814,-61.981930000000006
235,Revera Inc. — South Terrace Continuing Care Centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T6H 3J4,edmonton,ab,53.5462055,-113.491241
2350,Strait Richmond Hospital,general,Hospitals,Public Health Agency of Canada,,138,rr 1,B0E 1J0,cleveland,ns,45.617084000000006,-61.222926
2351,Sunshine Personal Home Care Inc.,residential care facility,Nursing and residential care facilities,Province of Nova Scotia,,38 a,withrod dr,B3N 1B1,halifax,ns,44.63301289,-63.62351235
2352,Surf Lodge Community Continuing Care Centre,nursing home,Nursing and residential care facilities,Province of Nova Scotia,,73,howe street,B0T 1L0,lockeport,ns,43.70157259,-65.11747788
2353,Sutherland Harris Memorial Hospital,general,Hospitals,Public Health Agency of Canada,,222,haliburton rd,B0K 1H0,pictou,ns,45.67663,-62.727086
2354,Taigh Na Mara Facility,nursing home,Nursing and residential care facilities,Province of Nova Scotia,,974,main street,B1A 4Z8,glace bay,ns,46.19945045,-59.9776869
2355,Taigh Solas,nursing home,Nursing and residential care facilities,Province of Nova Scotia,,520,purves street,B2A 3M4,north sydney,ns,46.21820836,-60.23555151
2356,the Admiral Long Term Care Centre,nursing home,Nursing and residential care facilities,Province of Nova Scotia,,6,admiral street,B2X 1W4,dartmouth,ns,44.68431853,-63.54545574
2357,the Birches,nursing home,Nursing and residential care facilities,Province of Nova Scotia,,7704,highway 7,B0J 2L0,musquodoboit harbour,ns,44.78303535,-63.15833345
2358,the Cove Guest Home,nursing home,Nursing and residential care facilities,Province of Nova Scotia,,320,alexandra street,B1S 2G1,sydney,ns,46.12106735,-60.19770963
2359,the East Coast Forensic Hospital,psychiatric,Hospitals,Public Health Agency of Canada,,88,gloria mccluskey ave,B3B 2B8,dartmouth,ns,44.7213432,-63.59163420000001
236,Richmond Road Diagnostic & Treatment Centre,,Hospitals,Province of Alberta,,1820,richmond road sw,T2T 5C7,calgary,ab,51.035999,-114.110878
2360,the Heritage House,residential care facility,Nursing and residential care facilities,Province of Nova Scotia,,55,high road,B0E 2W0,port hood,ns,46.01450107,-61.52808448
2361,the Magnolia,nursing home and residential care facility,Nursing and residential care facilities,Province of Nova Scotia,,416,highway 2,B2T 1E1,enfield,ns,44.95132751,-63.52747659
2362,the Meadows - Tidal View Manor,nursing home,Nursing and residential care facilities,Province of Nova Scotia,,339,pleasant st,B5A 2K9,yarmouth,ns,43.85050874,-66.1030679
2363,the Mira,nursing home,Nursing and residential care facilities,Province of Nova Scotia,,426,young st,B2N 7B1,truro,ns,45.34816341,-63.27478112
2364,the Nova Scotia Hospital,psychiatric,Hospitals,Public Health Agency of Canada,,300,pleasant st,B2Y 3Z9,dartmouth,ns,44.6510535,-63.5490045
2365,the Sagewood Continuing Care Centre,nursing home and residential care facility,Nursing and residential care facilities,Province of Nova Scotia,,345,cobequid road,B4C 4E6,sackville,ns,44.76140286,-63.65201397
2366,Tibbetts Home for Special Care,residential care facility,Nursing and residential care facilities,Province of Nova Scotia,,15074,highway 1,B0P 1R0,wilmot,ns,44.97704128,-64.96906184
2367,Tideview Terrace,nursing home,Nursing and residential care facilities,Province of Nova Scotia,,74,pleasant street,B0V 1A0,conway,ns,44.60922277,-65.76329329
2368,Townsview Estates,residential care facility,Nursing and residential care facilities,Province of Nova Scotia,,310,abenaki road,B2N 5Z5,millbrook 27,ns,45.33779325,-63.30136407
2369,Twin Oaks Memorial Hospital,extended care,Hospitals,Public Health Agency of Canada,,7702,hwy 7,B0J 2L0,musquodoboit harbour,ns,44.783235,-63.158434
237,Rimbey Hospital & Care Centre,general,Hospitals,Public Health Agency of Canada,,5228,50 ave,T0C 2J0,rimbey,ab,52.6396975,-114.2459585
2370,Valley Regional Hospital,general,Hospitals,Public Health Agency of Canada,,150,exhibition st,B4N 5E3,kentville,ns,45.0840529,-64.5005906
2371,Valley View Villa,nursing home,Nursing and residential care facilities,Province of Nova Scotia,,6125,trafalgar road,B4N 5E3,stellarton,ns,45.53959114,-62.667273
2372,Victoria County Memorial Hospital,active acute hospital,Hospitals,Canadian Institute for Health Information,,30,old margaree road,B0E 1B0,baddeck,ns,46.100264,-60.756029000000005
2373,Victoria Haven Nursing Home,nursing home,Nursing and residential care facilities,Province of Nova Scotia,,5,third st,B1A 5V2,glace bay,ns,46.21158569,-59.96484069
2374,Victoria Manor,residential care facility,Nursing and residential care facilities,Province of Nova Scotia,,14,victoria st w,B4H 1B8,amherst,ns,45.82972917,-64.21463348
2375,Victoria Park Guest Home,residential care facility,Nursing and residential care facilities,Province of Nova Scotia,,350,king street,B0N 2T0,windsor,ns,44.99277128,-64.13321305
2376,Villa Acadienne,nursing home,Nursing and residential care facilities,Province of Nova Scotia,,8403,highway 1,B0W 2J0,meteghan,ns,44.19370413,-66.15414223
2377,Villa Saint Joseph-Du-Lac,nursing home,Nursing and residential care facilities,Province of Nova Scotia,,255,highway 1,B5A 4A5,dayton,ns,43.8692446,-66.11164311
2378,Vimy Court,nursing home,Nursing and residential care facilities,Province of Nova Scotia,,130,vimy road,B2N 4J6,bible hill,ns,45.3793295,-63.2606517
238,Riverview Surgical Centre,other,Ambulatory health care services,Canadian Institute for Health Information,,,,T3B 2E7,calgary,ab,51.0456064,-114.057541
2380,Wedgewood House for Seniors Limited,residential care facility,Nursing and residential care facilities,Province of Nova Scotia,,19,leverett avenue,B4N 2K5,kentville,ns,45.07685084,-64.49156123
2381,Western Kings Memorial Health Centre,general,Ambulatory health care services,Public Health Agency of Canada,,121,orchard st,B0P 1E0,berwick,ns,45.0366969,-64.736579
2382,White Birches Retirement Residence,residential care facility,Nursing and residential care facilities,Province of Nova Scotia,,189,fox ranch rd,B4H 3Y3,amherst,ns,45.84141239,-64.17934846
2383,White Hills Long Term Care Centre,nursing home,Nursing and residential care facilities,Province of Nova Scotia,,297,pockwock road,B4B 1N5,hammonds plains,ns,44.744604,-63.805761
2384,Willow Lodge,nursing home,Nursing and residential care facilities,Province of Nova Scotia,,100,blair avennue,B0K 1V0,tatamagouche,ns,45.71116398,-63.29718836
2385,Willows Manor Limited,residential care facility,Nursing and residential care facilities,Province of Nova Scotia,,2844,highway 2,B0N 2H0,shubenacadie,ns,45.088376,-63.40760294
2386,Windsor Elms Village for Continuing Care Society,nursing home,Nursing and residential care facilities,Province of Nova Scotia,,174,dyke road,B0N 2T0,windsor,ns,44.99494045,-64.17090584
2387,Wolfville Elms,residential care facility,Nursing and residential care facilities,Province of Nova Scotia,,701,main street,B4P 2N4,wolfville,ns,45.08685070000001,-64.37907249999999
2388,Wolfville Nursing Home,nursing home,Nursing and residential care facilities,Province of Nova Scotia,,601,main street,B4P 1E9,wolfville,ns,45.08978053,-64.37227286
2389,Wynn Park Villa,nursing home and residential care facility,Nursing and residential care facilities,Province of Nova Scotia,,32,windor way,B2N 0B4,truro,ns,45.35569122,-63.30189093
239,Rocky Mountain House Health Centre,general,Hospitals,Public Health Agency of Canada,,5016,52 ave,T4T 1T2,rocky mountain house,ab,52.3785683,-114.920205
2390,Yarmouth Regional Hospital,general,Hospitals,Public Health Agency of Canada,,60,vancouver st,B5A 2P5,yarmouth,ns,43.8506469,-66.1217646
2391,Fort Simpson Health Centre,,Ambulatory health care services,Northwest Territories,,,100 ave,X0E 0N0,fort simpson,nt,61.865045,-121.354432
2392,Fort Smith Health Centre,,Hospitals,Northwest Territories,,41,breynet street,X0E 0P0,fort smith,nt,60.003556,-111.880212
2393,h.h. Williams Memorial Hospital,general,Hospitals,Public Health Agency of Canada,,3,gaetz dr,X0E 0R8,hay river,nt,60.81655,-115.779057
2394,Hay River Regional Health Centre,active acute hospital,Hospitals,Canadian Institute for Health Information,,37911,mackenzie highway,X0E 0R6,hay river,nt,60.8155874,-115.7866099
2395,Inuvik Regional Hospital,,Hospitals,Northwest Territories,,285,mackenzie rd,X0E 0T0,inuvik,nt,68.35299,-133.694525
2397,Stanton Territorial Hospital,general,Hospitals,Public Health Agency of Canada,,550,byrne rd,X1A 2N1,yellowknife,nt,62.447684,-114.4045
2398,Cambridge Bay Health Centre (Kitikmeot Regional Health Centre),general,Hospitals,Public Health Agency of Canada,,13d,omingmak st,X0E 0C0,cambridge bay,nu,69.117411,-105.051707
2399,Rankin Inlet Health Centre,general,Hospitals,Public Health Agency of Canada,,,,X0C 0G0,rankin inlet,nu,62.815036,-92.086775
24,Bethany Care Society — Bethany Airdrie,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T4B 2C4,airdrie,ab,51.28597,-114.01062
240,Rocky Mountain Surgery Centre Inc.,other,Ambulatory health care services,Canadian Institute for Health Information,,,,T2X 1P1,calgary,ab,51.0456064,-114.057541
2400,Qikiqtani General Hospital,,Hospitals,Nunavut,,516,niaqunngusiariaq,X0C 0G0,iqaluit,nu,63.749938,-68.509098
2402,147 Elder Street Inc.,retirement home,Nursing and residential care facilities,Province of Ontario,,147,elder street,M3H 5G9,toronto,on,43.762894200000005,-79.45410882
2403,2 Spirited People of the 1st Nations,community support service,Ambulatory health care services,Province of Ontario,,145,front street e,M5A 1E3,toronto,on,43.64982129,-79.36935038
2404,"3 c's Reintroduction Centre, the",mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,226,dog lake road,P7G 2G2,thunder bay,on,48.48675977,-89.32152099999999
2405,RÉSIDENCE ST. FRANÇOIS,retirement home,Nursing and residential care facilities,Province of Ontario,,790,rue principale,K0A 1M0,casselman,on,45.31639206,-75.09025213
2406,a Better Way Retirement Home Corp.,retirement home,Nursing and residential care facilities,Province of Ontario,,22,purpledusk trail,M1E 4C7,toronto,on,43.78366142,-79.20760054
2408,Aamjiwnaang First Nation Chippewas of Sarnia,community support service,Ambulatory health care services,Province of Ontario,,978,tashmoo avenue,N7T 7H5,sarnia,on,42.93600731,-82.41599187
241,Rockyview General Hospital,general,Hospitals,Public Health Agency of Canada,,7007,14 st sw,T2V 1P9,calgary,ab,50.989822100000005,-114.096632
2410,Abbeylawn Manor Retirement Home,retirement home,Nursing and residential care facilities,Province of Ontario,,534,rodd avenue,L1W 2B2,pickering,on,43.79773372,-79.11423721
2411,Aberdeen Gardens Retirement Residence,retirement home,Nursing and residential care facilities,Province of Ontario,,330,dundurn street s,L8P 4L6,hamilton,on,43.25164109,-79.89294681
2412,Aberdeen Health & Community Services,community support service,Ambulatory health care services,Province of Ontario,,446,grey street,N3S 7L6,brantford,on,43.14755536,-80.23320331
2413,Abi Possibilities,community support service,Ambulatory health care services,Province of Ontario,,208,evans avenue,M8Z 1J7,toronto,on,43.61822987,-79.51489762
2414,Abington Court,retirement home,Nursing and residential care facilities,Province of Ontario,,1500,main street e,L8K 1E1,hamilton,on,43.23895509,-79.80581978
2415,Ableliving Services Inc.,community support service,Nursing and residential care facilities,Province of Ontario,,125,redfern avenue,L9C 7W9,hamilton,on,43.24048479,-79.92012482
2416,Aboriginal Community Based Non-Residential Mental Health Services (Css),community support service,Ambulatory health care services,Province of Ontario,,161,applegrove street,P3C 1N2,sudbury,on,46.49171358,-81.00200379
2417,Aboriginal Peoples' Alliance of Northern Ontario (Apano),community support service,Ambulatory health care services,Province of Ontario,,173,railway street,P0L 1C0,cochrane,on,49.06100267,-81.02470509999999
2418,Access Alliance Multicultural Health and Community Services,community health centre,Ambulatory health care services,Province of Ontario,,340,college street,M5T 3A9,toronto,on,43.65757158,-79.40343899
2419,Access Better Living Inc.,community support service,Nursing and residential care facilities,Province of Ontario,,733,ross avenue e,P4N 8S8,timmins,on,48.48601227,-81.31161512
242,Rockyview Surgical Centre,other,Ambulatory health care services,Canadian Institute for Health Information,,,,T2V 4R6,calgary,ab,51.0456064,-114.057541
2420,Access Independent Living Services,community support service,Nursing and residential care facilities,Province of Ontario,,50,ashwarren road,M3J 1Z5,toronto,on,43.7584873,-79.48115742
2421,Acclaim Health,community support service,Ambulatory health care services,Province of Ontario,,2370,speers road,L6L 5M2,oakville,on,43.40795623,-79.72589097
2423,Across Boundaries: an Ethnocultural Mental Health Centre,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,1,york gate boulevard,M3N 3A1,toronto,on,43.7589948,-79.51880674
2424,Action Plus Physiotherapy Rockland,other,Ambulatory health care services,Canadian Institute for Health Information,,,,K4K 1K4,rockland,on,45.5485795,-75.2915629
2425,Activity Haven Senior Centre (Peterborough) Inc.,senior active living centre,Nursing and residential care facilities,Province of Ontario,,180,barnardo avenue,K9H 5X1,peterborough,on,44.31951895,-78.32075490000001
2426,Adair Place,retirement home,Nursing and residential care facilities,Province of Ontario,,462,adair road,K0K 3G0,tamworth,on,44.47618644,-76.98939748
2427,Addiction & Mental Health Services - Kingston Frontenac Lennox & Addington (Amhs - Kfla),mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,107,wellington street,K7L 3C6,kingston,on,44.22905481,-76.48406659999999
2428,Addiction Services for York Region,mental health and addiction organization,Ambulatory health care services,Province of Ontario,,4261,highway 7,L3R 9W6,markham,on,43.85908432,-79.31460658
2429,Addiction Services of Thames Valley (Adstv),mental health and addiction organization,Ambulatory health care services,Province of Ontario,,10,mondamin street,N5P 2V1,saint thomas,on,42.77959605,-81.19344148
243,Royal Alexandra Hospital,general,Hospitals,Public Health Agency of Canada,,10240,kingsway ave,T5H 3V9,edmonton,ab,53.5573875,-113.497772
2430,Addictions and Mental Health Services - Hastings Prince Edward,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,52,st lawrence street e,K0K 2K0,madoc,on,44.50567572,-77.47198554
2431,Adelaide Place Retirement Community,retirement home,Nursing and residential care facilities,Province of Ontario,,84,adelaide street s,K9V 0G6,kawartha lakes,on,44.34636004,-78.74439154
2432,Adeline's Lodge,retirement home,Nursing and residential care facilities,Province of Ontario,,379,lake promenade,M8W 1C1,toronto,on,43.58781597,-79.53873663
2433,Adult Recreation Therapy Centre,community support service,Ambulatory health care services,Province of Ontario,,58,easton road,N3P 1J5,brantford,on,43.17723146,-80.24016811
2434,Advent Forestview Retirement Residence,retirement home,Nursing and residential care facilities,Province of Ontario,,537,finch avenue w,M2R 0A8,toronto,on,43.7703728,-79.44469031
2435,Afton Park Place Long Term Care Community,long-term care home,Nursing and residential care facilities,Province of Ontario,,1200,afton drive,N7S 6L6,sarnia,on,42.97632532,-82.36144406
2436,AIDE AUX SENIORS DE SUDBURY EST/SUDBURY EAST SENIORS SUPPORT INC.,community support service,Nursing and residential care facilities,Province of Ontario,,44,st christophe street,P0M 2N0,noã«lville,on,46.136083,-80.425449
2437,Akausivik Inuit Family Health Team (Formerly Tungasuvvingat Inuit),family health team - contract,Ambulatory health care services,Province of Ontario,,24,selkirk street,K1L 0A4,ottawa,on,45.43172166,-75.66769193
2438,Albany Retirement Village,retirement home,Nursing and residential care facilities,Province of Ontario,,423,albany street,N0N 1R0,petrolia,on,42.88016952,-82.14880159
2439,Albright Gardens,long-term care home,Nursing and residential care facilities,Province of Ontario,,5050,hillside drive,L0R 1B2,lincoln,on,43.15187669,-79.47659767
244,Royal View Surgi-Centre,other,Ambulatory health care services,Canadian Institute for Health Information,,,,T3E 7E6,calgary,ab,51.0456064,-114.057541
2441,Alexander Muir Retirement Residence,retirement home,Nursing and residential care facilities,Province of Ontario,,197,prospect street,L3Y 3T7,newmarket,on,44.05368825,-79.45268034
2442,Alexander Place,long-term care home,Nursing and residential care facilities,Province of Ontario,,329,parkside drive,L0R 2H0,hamilton,on,43.34234541,-79.90081952
2443,Alexandra Hospital,general,Hospitals,Public Health Agency of Canada,,29,noxon st,N5C 3V6,ingersoll,on,43.032068,-80.87545899999999
2444,Alexandra Marine and General Hospital,hospital - corporation,Hospitals,Province of Ontario,,120,napier street,N7A 1W5,goderich,on,43.75029339,-81.70601993
2445,Alexandra Marine and General Hospital of Goderich,mental health and addiction organization,Hospitals,Province of Ontario,,274,huron road,N7A 3A2,goderich,on,43.73584389,-81.69832412
2446,Alexis Lodge Retirement Residence,retirement home,Nursing and residential care facilities,Province of Ontario,,707,ellesmere road,M1P 2W1,toronto,on,43.76371901,-79.28864066
2447,Algoma Family Services,mental health and addiction organization,Hospitals,Province of Ontario,,205,mcnabb street,P6B 1Y3,sault ste marie,on,46.5215406,-84.31783225
2448,Algoma Manor,community support service,Nursing and residential care facilities,Province of Ontario,,145,dawson street,P0R 1L0,thessalon,on,46.2634618,-83.56324898
245,Sacred Heart Community Health Centre,general,Hospitals,Public Health Agency of Canada,,350,3 ave,T0H 2L0,mclennan,ab,55.710475,-116.914218
2451,Algoma Nurse Practitioner-Led Clinic,nurse practitioner led clinic,Ambulatory health care services,Province of Ontario,,443,northern avenue e,P6B 5L3,sault ste marie,on,46.5338405,-84.30918975
2452,Algoma Public Health,mental health and addiction organization,Ambulatory health care services,Province of Ontario,,9,lawton street,P0R 1B0,blind river,on,46.18549773,-82.95352888
2453,Algoma Public Health Unit,public health unit office,Ambulatory health care services,Province of Ontario,,294,willow avenue,P6B 0A9,sault ste marie,on,46.5323816,-84.31484105
